pop,seed,checkpoint,reached,n_new,recall,precision,igd,hv_gap,raw_at_checkpoint,cache_hits_at_checkpoint,final_raw,final_cache_hits
100,26,15000,1,15000,0.6678200692041523,0.8373101952277657,0.8366124594473326,0.0004371314513643746,45931,30931,92700,72700
100,26,20000,1,20000,0.8079584775086506,0.8998073217726397,0.47142603458345606,0.0002067670413943382,92680,72680,92700,72700
100,27,4696,1,4696,0.33217993079584773,0.553314121037464,2.000363036063458,0.004944124942376676,6652,1956,96000,75999
100,27,6168,1,6168,0.4031141868512111,0.5928753180661578,1.6521461086145928,0.0027569822805887803,9973,3805,96000,75999
100,27,6611,1,6611,0.41522491349480967,0.5925925925925926,1.593654906919411,0.0026315815618375015,11066,4455,96000,75999
100,27,10000,1,10000,0.5346020761245674,0.6897321428571429,1.2307122856970842,0.0011846984516540352,21423,11423,96000,75999
100,27,15000,1,15000,0.6591695501730104,0.757455268389662,0.8620761971601891,0.0006733858538345134,45509,30509,96000,75999
100,27,20000,1,20000,0.7802768166089965,0.8351851851851851,0.5279657418505934,0.0003636390248742185,95933,75933,96000,75999
100,28,4696,1,4696,0.31314878892733566,0.530791788856305,1.9330869617464732,0.004284498441106719,6865,2169,95100,75099
100,28,6168,1,6168,0.36505190311418684,0.5596816976127321,1.7092300675112264,0.0033244807119242967,10265,4097,95100,75099
100,28,6611,1,6611,0.38235294117647056,0.574025974025974,1.684522958341465,0.0030049659147353114,11433,4822,95100,75099
100,28,10000,1,10000,0.5103806228373703,0.667420814479638,1.288557086365849,0.001978825823338617,22539,12539,95100,75099
100,28,15000,1,15000,0.6608996539792388,0.7417475728155339,0.8506368361398169,0.0006644578777269699,47879,32879,95100,75099
100,28,20000,1,20000,0.7941176470588235,0.8547486033519553,0.510281618094982,0.0002255603195360234,95098,75098,95100,75099
100,29,4696,1,4696,0.3356401384083045,0.5878787878787879,2.0072989375630703,0.0038518299574102823,6554,1858,96900,76897
100,29,6168,1,6168,0.40657439446366783,0.6509695290858726,1.6731786184262074,0.0021143608891181368,9829,3661,96900,76897
100,29,6611,1,6611,0.42214532871972316,0.6612466124661247,1.627647445740196,0.002055339837572373,10891,4280,96900,76897
100,29,10000,1,10000,0.5190311418685121,0.6912442396313364,1.3161156684231965,0.0008002101913905867,21687,11687,96900,76897
100,29,15000,1,15000,0.6591695501730104,0.8037974683544303,0.9088710337564876,0.00046735827963004944,47134,32134,96900,76897
100,29,20000,1,20000,0.7923875432525952,0.8893203883495145,0.5373121690039329,0.000266190674467978,96808,76808,96900,76897
100,30,4696,1,4696,0.3166089965397924,0.5512048192771084,2.1601994832800444,0.006304109795593881,7215,2519,102800,82795
100,30,6168,1,6168,0.3892733564013841,0.6302521008403361,1.8720603276144874,0.004218132542794545,10858,4690,102800,82795
100,30,6611,1,6611,0.4117647058823529,0.6397849462365591,1.7731859083040915,0.0038010107175708713,12097,5486,102800,82795
100,30,10000,1,10000,0.5397923875432526,0.7188940092165899,1.33918246423551,0.0017285230750313757,22916,12916,102800,82795
100,30,15000,1,15000,0.6868512110726643,0.8185567010309278,0.8795306096282216,0.001065661507994705,47959,32959,102800,82795
100,30,20000,1,20000,0.7993079584775087,0.868421052631579,0.5355112007431191,0.00028076987346931423,102737,82737,102800,82795
